Date,Predicted_Strategy,Predicted_Close
20210301,Sell,69.86368695410216
20210308,Sell,69.89149715318466
20210315,Hold,68.26079518630645
20210322,Hold,68.85719441265528
20210329,Sell,69.65930601706995
20210405,Sell,71.6083270323841
20210412,Sell,69.18092494839969
20210419,Sell,68.81093576965895
20210426,Sell,71.75966049779373
20210503,Sell,69.34883136404959
20210510,Sell,70.25830011465378
20210517,Sell,69.98502218940489
20210524,Sell,71.1311639478756
20210531,Hold,70.56665099622037
20210607,Hold,69.9398004038493
20210614,Hold,69.11413333293453
20210621,Hold,69.37448157153896
20210628,Sell,72.53099958050261
20210705,Hold,69.63270973171161
20210712,Hold,70.91006838203802
20210719,Hold,71.74945413028236
20210726,Hold,72.15598328153337
20210802,Sell,71.94295328619806
20210809,Sell,70.43725259250053
20210816,Sell,71.37660100475021
20210823,Sell,70.6088093178207
20210830,Hold,72.22562920103282
20210906,Sell,75.21524690028032
20210913,Sell,72.0591364631354
20210920,Hold,72.2727667544545
20210927,Sell,73.90879945642735
20211004,Sell,76.70073599223615
20211011,Sell,81.40423576262316
20211018,Hold,79.64563747142128
20211025,Hold,81.11636103412181
20211101,Sell,85.04739478788696
20211108,Hold,81.99027142727138
20211115,Sell,84.4948483702206
20211122,Hold,82.59908203043024
20211129,Hold,81.17359517064807
20211206,Hold,80.47730651522775
20211213,Sell,77.03326149970745
20211220,Hold,79.18406725449907
20211227,Hold,79.1672712873389
20220103,Buy,86.23562167804259
20220110,Buy,85.13174116104774
20220117,Buy,88.67893788532099
20220124,Hold,88.9399698692137
20220131,Buy,85.66263761076397
20220207,Hold,90.887484900861
20220214,Buy,86.89309248083289
20220221,Hold,87.34463901735069
20220228,Hold,89.87971544279479
20220307,Hold,93.73956071837176
20220314,Hold,92.80026246097506
20220321,Hold,87.01376595153639
20220328,Hold,88.23517101576758
20220404,Hold,90.55055874906495
20220411,Sell,96.91546235011049
20220418,Sell,98.97429957450194
20220425,Sell,95.13453637396469
20220502,Sell,96.24362029100665
20220509,Hold,88.56591299604764
20220516,Buy,84.79109382423428
20220523,Hold,89.93093089723872
20220530,Hold,88.12355674437802
20220606,Hold,90.20845303939223
20220613,Hold,89.58335715475842
20220620,Buy,84.50639918012588
20220627,Buy,82.94950186820806
20220704,Buy,85.35414306498691
20220711,Buy,85.88329034395343
20220718,Buy,81.8436551974862
20220725,Buy,85.18312527429796
20220801,Buy,82.4197235107987
20220808,Buy,85.08954142512002
20220815,Hold,82.57233359350398
20220822,Buy,78.54169182392461
20220829,Buy,78.25027128701569
20220905,Buy,78.20631406354909
20220912,Buy,77.56423743794701
20220919,Buy,78.84057902772064
20220926,Buy,76.89631223761273
20221003,Buy,78.01027730893624
20221010,Buy,79.5450085742246
20221017,Buy,76.14047031377075
20221024,Hold,76.72011909734574
20221031,Hold,76.470956856213
20221107,Buy,75.89482745460009
20221114,Buy,75.21513572608
20221121,Buy,76.52792197711508
20221128,Buy,75.54309086283618
20221205,Buy,76.30822062954039
20221212,Buy,76.49420217790298
20221219,Hold,75.47246383378007
20221226,Buy,75.49636943848809
20230102,Hold,76.8738308515603
20230109,Hold,78.68451897682915
20230116,Hold,75.93560306052017
20230123,Hold,75.2805138978272
